Price,Product,Customer Name,Rating,Heading,Comment
"₹51,999",iphone13,Sagar Patra,5,Simply awesome,Camera quality is awesome ❤️ love this phone .
"₹51,999",iphone13,Arnab Das,5,Perfect product!,"Awesome battery backup amazing camera, a all day batter backup  improved and brilliant IOs 16.1 oled display dolby speakers and lot more, just close your eyes and go for it. One of the best handy smartphones ever and in great discount given by flipkart in big billion days 🔥"
"₹51,999",iphone13,Flipkart Customer,5,Excellent,Nice Phone
"₹51,999",iphone13,Ajay Kr,5,Worth every penny,Awesome camera..I m love  it
"₹51,999",iphone13,Sachin Saini,4,Really Nice,"My first I phone ..from a long time android user… apple camera is way ahead  ,.. interface is better than android….overall premium features and feeling. .;but prices way aboveboard"
"₹51,999",iphone13,Badri Bishal  Pratihari ,5,Perfect product!,Love this phone..... 😍
"₹51,999",iphone13,Prasenjit Bar,4,Nice product,Best phone for day to day use and photography/videography.
"₹51,999",iphone13,Flipkart Customer,5,Terrific,Happy to have this phone
"₹51,999",iphone13,Srinivash Bhoi,5,Perfect product!,Pros-rear Camera is awesome.double speaker sound equal loud and base is superb display superb. Design also good.Battery back up superb.Cons-front camera is good not awesomeAfter switching from android you feel one minus point is the display notch .
"₹51,999",iphone13,Pushpita Mayra,5,Must buy!,Awesome phone Excellent camera quality
"₹51,999",iphone13,No Name,No Rating,No Comment Heading,Awesome phone Excellent camera quality
